Symbol;Name;AssetId
TRPL4;TRAN PAULIST PN;0
TRXL11;FII TRX LOG;0
TSLA34;TESLA INC DRN;0
TUPY3;TUPY ON;0
TWTR34;TWITTER DRN;0
TXRX3;TEX RENAUX ON;0
TXRX4;TEX RENAUX PN;0
UBSG34;UBS GROUP DRN;0
UBSR11;FII UBS (BR);0
UCAS3;UNICASA ON;0
UGPA3;ULTRAPAR ON;0
UNIP3;UNIPAR ON;0
UNIP5;UNIPAR PNA;0
UNIP6;UNIPAR PNB;0
UPAC34;UNIONPACIFIC DRN;0
UPSS34;UPS DRN;0
USBC34;US BANCORP DRN;0
USIM3;USIMINAS ON;0
USIM5;USIMINAS PNA;0
USIM6;USIMINAS PNB;0
USSX34;US STEEL DRN;0
UTEC34;UNITED TECH DRN;0
VALE3;VALE ON;0
VERZ34;VERIZON DRN;0
VGIR11;FII VALREIII;0
VGIR12;FII VALREIII;0
VILG11;FII VINCILOG;0
VISA34;VISA INC DRN;0
VISC11;FII VINCI SC;0
VIVR3;VIVER ON;0
VIVT3;TELEF BRASIL ON;0
VIVT4;TELEF BRASIL PN;0
VLID3;VALID ON;0
VLOE34;VALERO ENER DRN;0
VLOL11;FII OLIMPIA;0
VOTS11;FII V MASTER;0
VRTA11;FII FATOR VE;0
VRTA12;FII FATOR VE DIR;0
VSHO11;FII VOT SHOP;0
VTLT11;FII VOT LOG;0
VULC3;VULCABRAS ON;0
VVAR3;VIAVAREJO ON;0
WALM34;WAL MART DRN;0
WEGE3;WEG ON;0
WFCO34;WELLS FARGO DRN;0
WHRL3;WHIRLPOOL ON;0
WHRL4;WHIRLPOOL PN;0
WIZS3;WIZ S.A. ON;0
WLMM3;WLM IND COM ON;0
WLMM4;WLM IND COM PN;0
WPLZ11;FII W PLAZA;0
WSON33;WILSON SONS DR3;0
WTSP11B;FII WTC SP;0
XBOV11;CAIXAETFXBOV CI;0
XPCM11;FII XP MACAE;0
XPHT11;FII XP HOT;0
XPHT12;FII XP HOT;0
XPIN11;FII XP INDL;0
XPLG11;FII XP LOG;0
XPML11;FII XP MALLS;0
XRXB34;XEROX CORP DRN;0
XTED11;FII TRXE COR;0
YCHY11;FII YAGUARA;0
YDUQ3;YDUQS PART;0
